Year,Tariff Rate
2025,14.5
2024,2.5
2023,2.4
2022,2.8
2021,3.0
2020,2.8
2019,2.7
2018,1.8
2017,1.4
2016,1.5
2015,1.5
2014,1.4
2013,1.4
2012,1.3
2011,1.3
2010,1.4
2009,1.4
2008,1.2
2007,1.3
2006,1.4
2005,1.4
2004,1.5
2003,1.6
2002,1.7
2001,1.6
2000,1.6
1999,1.8
1998,2.0
1997,2.1
1996,2.3
1995,2.5
1994,3.0
1993,3.2
1992,3.3
1991,3.4
1990,3.3
1989,3.4
1988,3.4
1987,3.5
1986,3.6
1985,3.8
1984,3.7
1983,3.7
1982,3.6
1981,3.4
1980,3.1
1979,3.5
1978,4.0
1977,3.7
1976,3.9
1975,3.9
1974,3.8
1973,5.0
1972,5.7
1971,6.1
1970,6.5
1969,7.1
1968,7.1
1967,7.5
1966,7.6
1965,7.6
1964,7.4
1963,7.4
1962,7.6
1961,7.2
1960,7.2
1959,7.1
1958,6.5
1957,6.0
1956,5.9
1955,5.9
1954,5.4
1953,5.5
1952,5.3
1951,5.6
1950,6.1
1949,5.7
1948,5.9
1947,7.9
1946,10.3
1945,9.6
1944,9.9
1943,11.6
1942,11.6
1941,13.6
1940,12.5
1939,14.4
1938,15.5
1937,15.6
1936,16.8
1935,17.5
1934,18.4
1933,19.8
1932,19.6
1931,17.8
1930,15.8
1929,13.5
1928,13.3
1927,13.8
1926,13.4
1925,13.2
1924,14.9
1923,15.2
1922,14.7
1921,11.4
1920,6.4
1919,6.2
1918,5.7
1917,6.3
1916,9.6
1915,12.5
1914,14.9
1913,17.7
1912,18.6
1911,20.3
1910,21.1
1909,23.0
1908,23.9
1907,23.3
1906,24.2
1905,23.7
1904,26.2
1903,27.8
1902,27.8
1901,28.8